City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Riyadh,SA,87.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
8,Jaque,PA,79.25,moderate rain,7.5175,-78.1703,Imbu Bua Lodge
10,Galle,LK,79.68,broken clouds,6.0367,80.217,Amangalla
19,Khandyga,RU,81.97,clear sky,62.6667,135.6,Apel'sin
23,Nabire,ID,86.41,scattered clouds,-3.3667,135.4833,Hotel Nusantara Nabire
25,Itarema,BR,75.09,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
28,Port Moresby,PG,83.62,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
29,Maine-Soroa,NE,75.52,overcast clouds,13.2114,12.0241,Complexe
32,Touros,BR,76.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
34,Butaritari,KI,83.23,broken clouds,3.0707,172.7902,Isles Sunset Lodge
39,Aswan,EG,88.9,clear sky,24.0934,32.907,Nuba Nile
43,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
52,Tual,ID,81.27,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
53,Gat,IL,85.41,clear sky,31.61,34.7642,OlusHome
55,Male,MV,82.35,broken clouds,4.1748,73.5089,Hotel Octave Maldives
58,Dillon,US,77.2,overcast clouds,34.4166,-79.3712,Dillon Express Inn
59,Chabahar,IR,82.74,overcast clouds,25.2919,60.643,هتل گدروشیا
66,Yellowknife,CA,86.52,few clouds,62.456,-114.3525,The Explorer Hotel
72,Kavieng,PG,82.83,light rain,-2.5744,150.7967,Nusa Island Retreat
74,Manicore,BR,75.29,scattered clouds,-5.8092,-61.3003,Hotel Durval
77,Kapaa,US,84.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
78,Namatanai,PG,83.84,light rain,-3.6667,152.4333,Seagulls Inn Namatani
84,Porto Novo,BJ,78.62,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
90,Salinopolis,BR,77.49,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
96,Hilo,US,77.25,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
104,Katsuura,JP,89.64,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
108,Atuona,PF,77.22,few clouds,-9.8,-139.0333,Villa Enata
110,Hithadhoo,MV,81.14,light rain,-0.6,73.0833,Scoop Guest House
113,Karpathos,GR,79.79,clear sky,35.507,27.2132,Alex
118,La Ronge,CA,80.82,smoke,55.1001,-105.2842,Northland Motor Hotel
121,Nayoro,JP,80.11,broken clouds,44.3506,142.4578,大雪荘
122,Hami,CN,76.1,clear sky,42.8,93.45,Laoyutang Resort
129,Sur,OM,89.58,broken clouds,22.5667,59.5289,Sur Plaza Hotel
131,Feicheng,CN,79.79,light rain,35.2606,117.9675,Royal Garden Hotel
133,Coahuayana,MX,80.76,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
134,Lompoc,US,83.57,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
138,Fairbanks,US,79.14,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
139,Udachnyy,RU,78.33,scattered clouds,66.4167,112.4,Severnoye Siyaniye
141,Jerantut,MY,78.24,overcast clouds,3.936,102.3626,Jerantut Hill Resort
145,Tagusao,PH,86.47,few clouds,9.1924,117.8141,Toledo
148,Atar,MR,85.87,broken clouds,20.5169,-13.0499,Oumou Elghoura
155,Bonthe,SL,75.76,light rain,7.5264,-12.505,Bonthe Holiday Village
158,Pedernales,DO,81.9,overcast clouds,18.0384,-71.744,Hotel Costa Marina
162,Bani Walid,LY,78.13,clear sky,31.7566,13.9942,منزل الصابر أبوفانة
165,Srandakan,ID,81.19,broken clouds,-7.9386,110.2506,Puri Brata
167,Faanui,PF,78.1,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
168,Isangel,VU,77.11,broken clouds,-19.55,169.2667,Tanna Lodge
169,Mutsu,JP,82.0,clear sky,41.2894,141.2169,Mutsu Park Hotel
170,Baoding,CN,79.52,broken clouds,38.8511,115.4903,Xiu Lan Hotel
174,Aden,YE,81.72,few clouds,12.7794,45.0367,Sama Emirate Hotel
180,Turayf,SA,75.45,clear sky,31.6725,38.6637,Turaif
182,Naze,JP,83.32,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
183,Waddan,LY,80.6,clear sky,29.1614,16.139,محل الشريف محمد العايب
186,Alugan,PH,89.74,overcast clouds,12.2188,125.4808,JM Lodge
188,Tianpeng,CN,84.43,clear sky,30.9866,103.9393,Shuangliu Love Home Business Hotel
192,Jhunjhunun,IN,81.01,scattered clouds,28.1307,75.4014,STARiHOTELS Jhunjhunu
195,Maneadero,MX,87.19,clear sky,31.7167,-116.5667,Casa De Thompson
197,Ibra,OM,85.12,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
202,Victoria,HK,88.97,overcast clouds,22.2855,114.1577,Mini Hotel Central
203,Lorengau,PG,84.56,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
206,Sao Filipe,CV,75.33,few clouds,14.8961,-24.4956,Hotel Xaguate
210,Innisfail,AU,76.71,clear sky,-17.5333,146.0333,Moondarra Motel
211,Praia Da Vitoria,PT,75.76,overcast clouds,38.7333,-27.0667,Hotel Branco I
214,Kuala Terengganu,MY,83.07,overcast clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
215,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
217,Eyl,SO,79.25,clear sky,7.9803,49.8164,Amiin Hotel
218,Anchorage,US,78.67,light rain,61.2181,-149.9003,Hotel Captain Cook
220,Marsa Matruh,EG,79.11,clear sky,31.3525,27.2453,Beau Site
221,Prince Albert,CA,86.97,scattered clouds,53.2001,-105.7677,"Holiday Inn Express & Suites Prince Albert, an IHG Hotel"
222,Vanimo,PG,85.33,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
223,Santa Rosa,PH,89.1,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
231,Chamba,IN,78.67,clear sky,32.5667,76.1333,NotOnMap - Rafi's House
234,San Jose,US,78.57,clear sky,37.3394,-121.895,The Westin San Jose
236,The Valley,AI,82.81,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
241,Kirakira,SB,81.03,overcast clouds,-10.4544,161.9205,SanBiz Lodge
244,Jinchang,CN,76.32,overcast clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
245,San Policarpo,PH,89.55,overcast clouds,12.1791,125.5072,JM Lodge
250,Kamaishi,JP,83.07,few clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
251,Mount Isa,AU,87.57,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
252,Biloxi,US,82.51,broken clouds,30.396,-88.8853,IP Casino Resort Spa
254,Cockburn Town,TC,82.13,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
255,Sola,VU,75.81,overcast clouds,-13.8833,167.55,Leumerus Bungalows
259,Gushikawa,JP,85.62,broken clouds,26.3544,127.8686,Kirari Guest House
263,Bathsheba,BB,80.51,clear sky,13.2167,-59.5167,Atlantis Hotel
264,Zenzeli,RU,76.77,broken clouds,45.9241,47.0474,"Gostinitsa ""Zvezdnaya"""
272,Seoul,KR,82.81,overcast clouds,37.5683,126.9778,롯데호텔 서울
274,Harper,LR,76.28,overcast clouds,4.375,-7.7169,Screensaver
275,Licheng,CN,89.53,light rain,23.2955,113.8284,Xincheng Tourism Industry
279,Pacific Grove,US,77.16,scattered clouds,36.6177,-121.9166,Lovers Point Inn
283,Sabang,ID,82.69,overcast clouds,5.8933,95.3214,Hotel Citra
284,Alofi,NU,76.23,scattered clouds,-19.0595,-169.9187,Taloa Heights
289,Tautira,PF,80.62,clear sky,-17.7333,-149.15,Pension Oaoa
296,Korla,CN,78.78,broken clouds,41.7597,86.1469,Gulisitan Hotel
297,Road Town,VG,81.19,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
298,Honiara,SB,81.82,light rain,-9.4333,159.95,Heritage Park Hotel
299,Teahupoo,PF,75.16,clear sky,-17.8333,-149.2667,Vanira Lodge
300,Makakilo City,US,82.72,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
301,Surt,LY,81.64,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
302,Tiarei,PF,80.62,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
303,Komsomolskiy,UZ,78.22,clear sky,40.4272,71.7189,Ikathouse
305,Chanute,US,75.88,clear sky,37.6792,-95.4572,Guest House Motel Chanute
309,Finschhafen,PG,80.82,broken clouds,-6.6024,147.8681,Cossam Guest House
312,Flagstaff,US,77.31,light rain,35.1981,-111.6513,Drury Inn & Suites Flagstaff
314,Dingle,PH,87.69,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
316,Cozumel,MX,84.11,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
322,Umm Lajj,SA,86.92,scattered clouds,25.0213,37.2685,Moon light Furnished Units
326,Bengkulu,ID,78.35,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
329,Bintulu,MY,77.56,overcast clouds,3.1667,113.0333,900 Boutique INN
332,Labuhan,ID,83.3,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
334,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
335,Ambulu,ID,81.75,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
343,Macklin,CA,87.08,broken clouds,52.3334,-109.9348,Macklin Motor Inn
345,Shreveport,US,88.09,thunderstorm,32.5251,-93.7502,Eldorado Resort Casino Shreveport
353,Lloydminster,CA,85.46,overcast clouds,53.2835,-110.0016,BCMInns - Lloydminster
355,Salinas,US,77.22,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
358,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
359,Yeppoon,AU,76.78,clear sky,-23.1333,150.7333,Villa Mar Colina
360,Sarai Alamgir,PK,82.38,clear sky,32.9012,73.7559,Tulip Riverside Hotel And Restaurant Jehlum
362,Udaipur,IN,76.1,overcast clouds,24.5712,73.6918,"Taj Lake Palace, Udaipur"
364,Norman Wells,CA,88.77,clear sky,65.282,-126.8329,Heritage Hotel
379,Port Blair,IN,82.67,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
385,Vaitape,PF,78.1,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
386,San Patricio,US,85.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
390,Rreshen,AL,76.28,clear sky,41.7675,19.8756,KTHELLA Resort
391,Gizo,SB,81.05,light rain,-8.103,156.8419,Imagination Island
393,Dawson Creek,CA,81.57,overcast clouds,55.7666,-120.2362,Peace Villa Motel
394,Corn Island,NI,82.11,overcast clouds,12.1694,-83.0418,Big Fish Guest House
396,Asyut,EG,85.91,few clouds,27.181,31.1837,Florence Hotel Assiut
399,Gunjur,GM,75.27,scattered clouds,13.2019,-16.7339,Kuba Lodge
400,Dapdap,PH,89.47,overcast clouds,12.062,125.4881,Oasis Lodge
401,Nyurba,RU,79.66,overcast clouds,63.2842,118.3319,Gostinitsa Alrosa
402,Nhulunbuy,AU,84.81,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
404,Nambour,AU,78.33,clear sky,-26.6333,152.95,Nambour Lodge Motel
405,Biak,ID,81.75,few clouds,-0.9131,122.8766,Penginapan Kim
409,Smithers,CA,89.56,clear sky,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
414,Axim,GH,75.18,clear sky,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
415,Suluq,LY,80.56,clear sky,31.6682,20.2521,منزل عبدالواحد خليفة الفاخري
417,Mizdah,LY,80.65,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
425,Robertsport,LR,77.56,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
427,Kamiiso,JP,78.94,overcast clouds,41.8167,140.65,ビジネス民宿あべ
432,Buala,SB,79.7,light rain,-8.145,159.5921,Maringe Lagoon Lodge
434,Awbari,LY,83.48,clear sky,26.5921,12.7805,فندق أوباري
439,Kiunga,PG,81.16,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
440,Gondanglegi,ID,83.59,clear sky,-7.7479,112.0132,Gg. Munasir Homestay
441,Havelock,US,77.94,few clouds,34.8791,-76.9013,Sherwood Motel
446,Shingu,JP,86.92,overcast clouds,33.7333,135.9833,Shingu UI Hotel
447,Flin Flon,CA,78.21,clear sky,54.7682,-101.865,Victoria Inn Flin Flon
449,Haines Junction,CA,81.28,scattered clouds,60.7522,-137.5108,Parkside Inn
450,Kawalu,ID,75.04,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
451,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
455,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
460,Charters Towers,AU,81.1,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
461,Guerrero Negro,MX,75.92,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
462,Shimoda,JP,84.52,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
463,Homer,US,75.07,clear sky,59.6425,-151.5483,Beluga Lake Lodge
464,North Platte,US,76.01,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
466,Kazerun,IR,84.58,clear sky,29.6195,51.6541,آپارتمان بزرگ اویسا
467,Tura,IN,76.89,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
470,Limay,PH,86.32,overcast clouds,14.5333,120.55,Man's Forest Inland Resort a.k.a Manansala Resort
481,Bucerias,MX,81.84,clear sky,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
483,Armeria,MX,85.77,clear sky,18.9333,-103.9667,Hotel la Herradura
486,Bubaque,GW,79.52,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
489,Mapimi,MX,86.77,broken clouds,25.8167,-103.85,Propiedad Lldm
490,Quesnel,CA,76.87,overcast clouds,52.9999,-122.5029,Ramada by Wyndham Quesnel
492,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
494,Columbia,US,83.19,broken clouds,34.0007,-81.0348,Hampton Inn Columbia-Downtown Historic District
496,Tezu,IN,86.32,clear sky,27.9167,96.1667,Circuit House
500,Milledgeville,US,80.96,scattered clouds,33.0801,-83.2321,Hampton Inn Milledgeville
503,Bol,TD,78.67,overcast clouds,13.4586,14.7147,Hotel 3 Etoiles
504,College,US,78.75,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
506,Kijang,KR,85.91,overcast clouds,35.2442,129.2139,Samyang Beach Villa
508,Cairns,AU,87.06,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
510,Colimes,EC,76.86,broken clouds,-1.55,-80.0167,"Casa de Retiro ""JESÚS DE LA DIVINA MISERICORDIA"""
512,Kalmunai,LK,81.41,overcast clouds,7.4167,81.8167,VS Villa
514,Phangnga,TH,84.24,overcast clouds,8.4509,98.5298,Sunimit Mansion
515,Bambanglipuro,ID,81.27,broken clouds,-7.95,110.2833,Puri Brata
517,Kailua,US,87.78,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
521,San Pedro,PH,89.31,overcast clouds,14.35,121.0167,Villa Veronica Resort Private Pool
527,Anloga,GH,75.94,few clouds,5.7947,0.8973,Pin Drop Hotel
528,Khandbari,NP,76.19,overcast clouds,27.3747,87.2039,Sainik Hotel And Lodge
531,Mountain Home,US,77.74,few clouds,43.133,-115.6912,Mountain Home Inn
537,Samarai,PG,78.67,overcast clouds,-10.6167,150.6667,Nuli Sapi
541,Zhigansk,RU,75.51,clear sky,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
543,Vega De Alatorre,MX,80.83,few clouds,20.0333,-96.6333,El Polo Norte
547,Springfield,US,75.06,overcast clouds,37.2153,-93.2982,University Plaza Hotel & Convention Center
556,Gazanjyk,TM,81.12,clear sky,39.2446,55.5154,Railway motel
557,Half Moon Bay,US,76.62,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
559,Enid,US,78.15,haze,36.3956,-97.8784,Ramada by Wyndham Enid
560,Semporna,MY,84.9,light rain,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
566,Ewa Beach,US,87.75,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
569,Emerald,AU,79.34,clear sky,-23.5333,148.1667,The Irish Village
575,Kapoeta,SS,76.66,overcast clouds,4.7717,33.5903,Eastgate Hotel
580,Duobao,CN,87.84,overcast clouds,30.67,112.6895,Yongsheng Hotel
581,Guanica,PR,81.99,broken clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
584,Waingapu,ID,84.22,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
587,Vieux-Habitants,GP,76.57,clear sky,16.0589,-61.7659,Gîtes Dardanelle
591,Kahului,US,83.46,few clouds,20.8947,-156.47,Maui Seaside Hotel
593,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
595,Zaranj,AF,84.63,clear sky,30.9667,61.8833,غزنوی هوتل
596,Ixtapa,MX,85.23,broken clouds,20.7,-105.2,Hotel Plaza Providencia
597,Sabzevar,IR,75.63,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
600,Namtsy,RU,80.71,overcast clouds,62.7161,129.6658,"""Эңсиэли Киин"""
609,Banda Aceh,ID,81.45,overcast clouds,5.5577,95.3222,Sulthan Hotel International
610,Tariba,VE,75.76,overcast clouds,7.8188,-72.2243,Hotel Las Lomas
612,Churhat,IN,75.56,overcast clouds,24.428,81.6703,Roshan Lal Namdeo S/o Motilal Namdeo. Prince Namdeo & Raja Namdeo
617,Silver City,US,76.96,clear sky,32.7701,-108.2803,Copper Manor Motel
620,Madang,PG,84.6,few clouds,-5.2246,145.7966,Comfort Inn Hotel
621,Sao Felix Do Xingu,BR,76.89,broken clouds,-6.6447,-51.995,Rio Xingu Camping
625,Hobyo,SO,76.46,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
626,Tateyama,JP,87.82,moderate rain,34.9833,139.8667,Tateyama Seaside Hotel
632,Nicoya,CR,78.35,overcast clouds,10.1483,-85.452,Guayacan Real
636,Meulaboh,ID,78.42,overcast clouds,4.1363,96.1285,Kost Pria
638,Sheridan,US,86.18,clear sky,44.8333,-106.9173,Comfort Inn & Suites
645,Kununurra,AU,89.58,clear sky,-15.7667,128.7333,Hotel Kununurra
646,Muisne,EC,75.99,overcast clouds,0.6,-80.0333,Quinta Samay
648,Mareeba,AU,80.44,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
651,Fuyang,CN,85.96,light rain,32.9,115.8167,Fuyang Wanda Realm Hotel
658,Morgan City,US,84.0,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
659,Zhuhai,CN,88.72,scattered clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
662,Ternate,ID,83.66,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
664,Marawi,PH,81.91,broken clouds,7.9986,124.2928,Derogongan Residence
665,Ocos,GT,84.99,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
671,Davila,PH,82.2,moderate rain,18.4726,120.5763,Blue Ridge Beach Resort
676,Chardara,KZ,76.28,clear sky,41.2547,67.9692,Жанаргул
679,Praya,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
681,Lebanon,US,75.96,scattered clouds,36.2081,-86.2911,Hampton Inn & Suites Lebanon
686,Zhicheng,CN,88.88,light rain,30.2956,111.5047,Wangjiang Building
688,Shenjiamen,CN,80.82,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
694,Progreso,MX,80.71,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
696,Allende,MX,89.58,clear sky,25.2833,-100.0167,Ecovergel Hotel Boutique
702,Cayenne,GF,80.1,light rain,4.9333,-52.3333,Hôtel Le Dronmi
703,Catuday,PH,81.97,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
704,Kyrylivka,UA,77.49,clear sky,46.3759,35.3675,"Rok-Hotelʹ ""Kleopatra"""
705,Pandan,PH,87.22,overcast clouds,14.0453,124.1694,Bonifacio Lodge
706,Yingkou,CN,77.92,light rain,40.6648,122.2283,Yingkou Juyin Junyue Hotel
711,Chumphon,TH,83.39,overcast clouds,10.3333,98.8333,สกาน จ๋า.
713,Dawei,MM,80.67,heavy intensity rain,14.0833,98.2,Hotel Dawei
717,Gidam,IN,75.27,overcast clouds,18.9833,81.4,Dhanshree Lodge And DormItory
